method,r_names_used,distributive,weights_on_harmonics,weights_on_regions,cap,normed_column,harmonics_considered,correlation,p_value,final_ranking_correlate,cleaned_method_name
Experimental_methods ,all_ranges,True,True,True,0,normed_values_only_modulations,2,-0.0890870806374747,0.7722614932228544,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_weighted_modulations_only,2,0.8859422637875107,5.556420334184165e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1749999999999999, 0.0, 0.525, 1.0, 0.7750000000000001, 0.925, 0.7750000000000001, 0.925]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,2,0.8871702805064688,5.2480743403727885e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2258064516129031, 0.0, 0.4516129032258063, 0.8602150537634407, 1.0, 0.7956989247311826, 1.0, 0.7956989247311826]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_only_modulations,3,-0.0621369766001199,0.84018506641396,"[1.0, 0.0, 0.5, 0.5000000000000003, 0.5000000000000003, 0.0, 0.5, 0.5000000000000003, 0.5, 0.0, 0.5000000000000003, 0.0, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_weighted_modulations_only,3,0.9145922293314286,1.198062639050338e-05,"[0.0, 0.0, 0.0, 0.125, 0.21875, 0.34375, 0.2125, 0.6124999999999999, 1.0, 0.7562500000000001, 0.81875, 0.66875, 0.94375]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,3,0.903150474431268,2.338705435074073e-05,"[0.0, 0.0, 0.0, 0.125, 0.21875, 0.4419642857142858, 0.2125, 0.6124999999999999, 1.0, 0.9723214285714288, 0.8187499999999999, 0.8598214285714285, 0.7721590909090909]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_only_modulations,4,-0.10917192286934,0.7225694609319696,"[1.0, 0.0, 0.6666666666666667, 0.6666666666666673, 0.6666666666666673, 0.0, 0.6666666666666667, 0.5555555555555555, 0.6666666666666673, 0.0, 0.5555555555555555, 0.0, 1.0]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_weighted_modulations_only,4,0.9085879796551596,1.7203726008584835e-05,"[0.0, 0.0, 0.0684931506849315, 0.1552511415525114, 0.228310502283105, 0.2990867579908676, 0.2031963470319634, 0.5639269406392694, 1.0, 0.6689497716894979, 0.7625570776255708, 0.6735159817351599, 0.8972602739726028]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_normed_weighted_modulations,4,0.9161948783339416,1.0829334536017327e-05,"[0.0, 0.0, 0.0684931506849315, 0.1552511415525114, 0.228310502283105, 0.391906786332861, 0.2031963470319635, 0.5871020203915683, 1.0, 0.8765548732483076, 0.7938950397197725, 0.8825381829633131, 0.8022562449637392]",Method E
Experimental_methods ,all_ranges,True,True,True,0,normed_values_only_modulations,5,-0.0152588313576964,0.96054072094496,"[1.0, 0.0, 0.5664739884393064, 0.5664739884393064, 0.7398843930635832, 0.1156069364161848, 0.6358381502890171, 0.6531791907514451, 0.5664739884393061, 0.1156069364161848, 0.6531791907514448, 0.1156069364161848, 1.0]",Method E
