method,r_names_used,distributive,weights_on_harmonics,weights_on_regions,cap,normed_column,harmonics_considered,correlation,p_value,final_ranking_correlate,compared_with
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,2,-0.025652442910907458,0.9337051681430276,"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,2,0.09112504060518967,0.7671794024967994,"[0.2560975609756097, 0.2560975609756097, 0.0853658536585365, 0.3780487804878049, 0.2560975609756097, 0.4512195121951219, 0.4512195121951219, 0.2560975609756097, 0.8292682926829268, 0.0853658536585365, 0.8292682926829268, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,2,0.07324631615946797,0.8120354403318856,"[0.2560975609756097, 0.2560975609756097, 0.1280487804878048, 0.5670731707317074, 0.2560975609756097, 0.4512195121951219, 0.4512195121951219, 0.2560975609756097, 0.8719512195121949, 0.1280487804878048, 0.8719512195121949, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,3,-0.025652442910907597,0.9337051681430276,"[1.0, 1.0, 1.4802973661668697e-15, 1.4802973661668697e-15, 1.0, 1.0, 1.0, 1.0, 1.4802973661668697e-15, 1.4802973661668697e-15, 0.0, 1.0, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,3,0.22081339608388634,0.4684782161597629,"[0.115079365079365, 0.115079365079365, 0.0238095238095238, 0.2261904761904761, 0.1904761904761904, 0.1865079365079364, 0.1865079365079364, 0.1904761904761905, 0.8293650793650794, 0.0238095238095238, 0.8293650793650794, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,3,0.20996271096816235,0.4911448953320357,"[0.1150793650793649, 0.1150793650793649, 0.0861678004535148, 0.3633786848072563, 0.1904761904761904, 0.1865079365079363, 0.1865079365079363, 0.1904761904761904, 0.8917233560090703, 0.0861678004535148, 0.8917233560090703, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,4,0.0006319755972270524,0.998365143690898,"[0.8571428571428575, 0.8571428571428575, 0.1428571428571425, 0.1428571428571425, 0.8571428571428575, 0.8571428571428575, 0.8571428571428575, 0.8571428571428575, 0.0, 0.1428571428571425, 0.0, 0.714285714285715, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,4,0.20561593047019705,0.5003639947565048,"[0.1368584758942458, 0.1368584758942457, 0.015552099533437, 0.2177293934681182, 0.1788491446345257, 0.2223950233281493, 0.2223950233281493, 0.1788491446345257, 0.8195956454121305, 0.0155520995334371, 0.8195956454121307, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,4,0.18818094057789486,0.5381115864062984,"[0.1479729869271598, 0.1479729869271598, 0.0763682614197744, 0.3481540141104351, 0.1886784659548544, 0.2362817785671506, 0.2362817785671506, 0.1886784659548544, 0.8711060817869701, 0.0763682614197744, 0.8711060817869705, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,5,0.08403316507651343,0.7849002784356567,"[0.8200000000000001, 0.8200000000000001, 0.1999999999999988, 0.0, 0.700000000000001, 0.6199999999999998, 0.6199999999999998, 0.700000000000001, 0.0999999999999987, 0.1999999999999988, 0.1000000000000001, 0.7199999999999999, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,5,0.12794253026799873,0.6770139462515823,"[0.212573385518591, 0.212573385518591, 0.0533268101761252, 0.350293542074364, 0.24926614481409, 0.3801369863013697, 0.3801369863013697, 0.24926614481409, 0.7994129158512719, 0.0533268101761251, 0.7994129158512719, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,5,0.11855412967250051,0.6996835471249646,"[0.2134432237560609, 0.2134432237560609, 0.1024488594617024, 0.4672078320360239, 0.2554659674942698, 0.3853047997744684, 0.3853047997744684, 0.2554659674942696, 0.8475383671666414, 0.1024488594617025, 0.8475383671666414, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,6,0.06620531103731889,0.829854380537992,"[0.8411764705882353, 0.8411764705882353, 0.1764705882352937, 0.0, 0.735294117647061, 0.6647058823529405, 0.6647058823529426, 0.7352941176470589, 0.0882352941176474, 0.1764705882352937, 0.0882352941176474, 0.752941176470589, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,6,0.15286553164086744,0.618078004376869,"[0.1959397810218978, 0.1959397810218978, 0.052235401459854, 0.2892335766423357, 0.2358576642335765, 0.3134124087591241, 0.3134124087591241, 0.2358576642335766, 0.8072536496350365, 0.052235401459854, 0.8072536496350365, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,6,0.14270248084274564,0.6418811003490795,"[0.1981854451027551, 0.198185445102755, 0.1182133619739281, 0.4166639911755069, 0.2441036365553697, 0.3222545516547179, 0.3222545516547179, 0.2441036365553697, 0.8710323838834266, 0.1182133619739281, 0.8710323838834266, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,7,0.0407453220511064,0.8948579787721604,"[0.8457142857142849, 0.8457142857142849, 0.1999999999999993, 0.0285714285714269, 0.7428571428571432, 0.6742857142857144, 0.6742857142857144, 0.7428571428571432, 0.0, 0.1999999999999993, 0.0, 0.7600000000000005, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,7,0.18848007821313534,0.5374538154471586,"[0.1598277431552411, 0.1598277431552411, 0.0326657797073034, 0.2179819340382326, 0.20271689657587, 0.2531335340662419, 0.2531335340662419, 0.20271689657587, 0.8020096631888525, 0.0326657797073034, 0.8020096631888525, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,7,0.18055983505747025,0.5549849823420354,"[0.1603407847027545, 0.1603407847027545, 0.1130938086394322, 0.3516536782459322, 0.2121616923169901, 0.2617365233496267, 0.2617365233496269, 0.2121616923169901, 0.8899323632190071, 0.1130938086394322, 0.8899323632190068, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,8,0.019236345415015454,0.9502651199457491,"[0.9216216216216224, 0.9216216216216238, 0.1621621621621631, 0.0, 0.8243243243243256, 0.759459459459462, 0.7594594594594606, 0.8243243243243241, 0.0405405405405397, 0.1621621621621631, 0.0405405405405382, 0.9081081081081066, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,8,0.1892985212682647,0.5356559180922493,"[0.16370882371256, 0.1637088237125599, 0.0092782863191978, 0.1690173734354567, 0.2016937542810885, 0.2425586898312471, 0.2425586898312471, 0.2016937542810885, 0.7836727068933308, 0.0092782863191978, 0.7836727068933308, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_normed_weighted_modulations,8,0.18660205606433708,0.541589096711732,"[0.1587729385674112, 0.1587729385674112, 0.0904043012263625, 0.3020432710154009, 0.2058285651892367, 0.2455895154698606, 0.2455895154698606, 0.2058285651892369, 0.8761695056479286, 0.0904043012263625, 0.8761695056479286, 1.0, 0.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_only_modulations,9,0.03798626214463019,0.9019457312320627,"[0.9216216216216212, 0.9216216216216212, 0.1621621621621607, 0.0, 0.8243243243243252, 0.7594594594594605, 0.7594594594594605, 0.8243243243243252, 0.0765765765765761, 0.1621621621621607, 0.0765765765765761, 0.9891891891891887, 1.0]",numbered_rankings
Experimental_methods ,all_ranges,weight_interval_sum,True,True,0,normed_values_weighted_modulations_only,9,0.24723038855720242,0.4154486662928315,"[0.1676960362755063, 0.1676960362755063, 1.2961715660283795e-16, 0.1026138170067496, 0.206030281708493, 0.1777291324629297, 0.1777291324629299, 0.2060302817084933, 0.768675891903161, 0.0, 0.768675891903161, 1.0, 0.0822557527428143]",numbered_rankings
